fetch_time,d_time,flight_number,price,craft_type
2020-09-22 10:03:11,2020-09-23 07:15:00,CA1293,1690,波音737
2020-09-22 10:03:11,2020-09-23 07:40:00,CZ6931,1690,空客321
2020-09-22 10:03:11,2020-09-23 07:50:00,CA1275,1690,波音737
2020-09-22 10:03:11,2020-09-23 09:00:00,CZ6904,2000,波音787
2020-09-22 10:03:11,2020-09-23 09:10:00,CA1901,2000,空客320
2020-09-22 10:03:11,2020-09-23 11:20:00,CA1253,2260,波音738
2020-09-22 10:03:11,2020-09-23 12:05:00,CZ6908,2260,空客321
2020-09-22 10:03:11,2020-09-23 13:00:00,CZ6906,2260,波音738
2020-09-22 10:03:11,2020-09-23 13:30:00,CZ6921,2260,空客320
2020-09-22 10:03:11,2020-09-23 14:55:00,CZ6902,2260,波音787
2020-09-22 10:03:11,2020-09-23 16:00:00,CA1291,2260,波音738
2020-09-22 10:03:11,2020-09-23 19:30:00,CZ6910,2000,波音787
2020-09-22 10:03:11,2020-09-23 22:00:00,CZ6912,1690,波音738
2020-09-22 10:03:43,2020-09-24 16:00:00,CA1291,2260,波音737
2020-09-22 10:03:43,2020-09-24 09:10:00,CA1901,2000,空客320
2020-09-22 10:03:43,2020-09-24 11:20:00,CA1253,2260,波音738
2020-09-22 10:03:43,2020-09-24 07:15:00,CA1293,1690,波音737
2020-09-22 10:03:43,2020-09-24 08:05:00,CA1477,1690,波音738
2020-09-22 10:03:43,2020-09-24 13:30:00,CZ6921,2260,空客320
2020-09-22 10:03:43,2020-09-24 14:55:00,CZ6902,2260,波音787
2020-09-22 10:03:43,2020-09-24 19:30:00,CZ6910,2000,波音787
2020-09-22 10:03:43,2020-09-24 22:00:00,CZ6912,1690,波音738
2020-09-22 10:03:43,2020-09-24 12:05:00,CZ6908,2260,空客321
2020-09-22 10:03:43,2020-09-24 13:00:00,CZ6906,2260,波音738
2020-09-22 10:03:43,2020-09-24 07:40:00,CZ6931,1690,空客321
2020-09-22 10:03:43,2020-09-24 09:00:00,CZ6904,2000,波音787
2020-09-22 10:04:14,2020-09-25 14:55:00,CZ6902,2260,波音787
2020-09-22 10:04:14,2020-09-25 19:30:00,CZ6910,2000,波音787
2020-09-22 10:04:14,2020-09-25 22:00:00,CZ6912,1690,波音738
2020-09-22 10:04:14,2020-09-25 12:05:00,CZ6908,2260,空客321
2020-09-22 10:04:14,2020-09-25 13:00:00,CZ6906,2260,波音738
2020-09-22 10:04:14,2020-09-25 07:40:00,CZ6931,1690,空客320
2020-09-22 10:04:14,2020-09-25 09:00:00,CZ6904,2000,波音787
2020-09-22 10:04:14,2020-09-25 13:30:00,CZ6921,2260,空客321
2020-09-22 10:04:14,2020-09-25 16:00:00,CA1291,2260,波音738
2020-09-22 10:04:14,2020-09-25 09:10:00,CA1901,2000,空客320
2020-09-22 10:04:14,2020-09-25 11:20:00,CA1253,2260,波音737
2020-09-22 10:04:14,2020-09-25 07:50:00,CA1275,1690,波音737
2020-09-22 10:04:14,2020-09-25 08:05:00,CA1477,1690,波音738
2020-09-22 10:04:46,2020-09-26 07:15:00,CA1293,1240,波音737
2020-09-22 10:04:46,2020-09-26 07:40:00,CZ6931,1240,空客321
2020-09-22 10:04:46,2020-09-26 08:05:00,CA1477,1240,波音737
2020-09-22 10:04:46,2020-09-26 09:00:00,CZ6904,2000,波音787
2020-09-22 10:04:46,2020-09-26 09:10:00,CA1901,1240,空客320
2020-09-22 10:04:46,2020-09-26 11:20:00,CA1253,1690,波音737
2020-09-22 10:04:46,2020-09-26 12:05:00,CZ6908,1240,空客321
2020-09-22 10:04:46,2020-09-26 13:00:00,CZ6906,1240,波音738
2020-09-22 10:04:46,2020-09-26 13:30:00,CZ6921,1240,空客321
2020-09-22 10:04:46,2020-09-26 14:55:00,CZ6902,1710,波音787
2020-09-22 10:04:46,2020-09-26 16:00:00,CA1291,1690,波音737
2020-09-22 10:04:46,2020-09-26 19:30:00,CZ6910,1240,波音787
2020-09-22 10:04:46,2020-09-26 20:00:00,CA1295,1040,波音737
2020-09-22 10:04:46,2020-09-26 22:00:00,CZ6912,1040,波音738
2020-09-22 10:05:18,2020-09-27 16:00:00,CA1291,1240,空客320
2020-09-22 10:05:18,2020-09-27 20:00:00,CA1295,1240,波音738
2020-09-22 10:05:18,2020-09-27 09:10:00,CA1901,1240,空客320
2020-09-22 10:05:18,2020-09-27 11:00:00,CA1253,1240,波音737
2020-09-22 10:05:18,2020-09-27 07:15:00,CA1293,1240,波音737
2020-09-22 10:05:18,2020-09-27 07:50:00,CA1275,1240,波音737
2020-09-22 10:05:18,2020-09-27 14:55:00,CZ6902,1240,波音787
2020-09-22 10:05:18,2020-09-27 19:30:00,CZ6910,1240,波音787
2020-09-22 10:05:18,2020-09-27 22:00:00,CZ6912,1240,波音738
2020-09-22 10:05:18,2020-09-27 12:05:00,CZ6908,1240,空客321
2020-09-22 10:05:18,2020-09-27 13:00:00,CZ6906,1240,波音738
2020-09-22 10:05:18,2020-09-27 07:40:00,CZ6931,1240,空客321
2020-09-22 10:05:18,2020-09-27 09:00:00,CZ6904,1240,波音787
2020-09-22 10:05:18,2020-09-27 13:30:00,CZ6921,1240,空客321
2020-09-22 10:05:51,2020-09-28 07:40:00,CZ6931,1240,空客321
2020-09-22 10:05:51,2020-09-28 07:50:00,CA1275,1690,波音737
2020-09-22 10:05:51,2020-09-28 08:05:00,CA1477,1240,波音737
2020-09-22 10:05:51,2020-09-28 09:00:00,CZ6904,1240,波音787
2020-09-22 10:05:51,2020-09-28 09:10:00,CA1901,1690,空客321
2020-09-22 10:05:51,2020-09-28 11:20:00,CA1253,1690,波音737
2020-09-22 10:05:51,2020-09-28 12:05:00,CZ6908,1240,空客321
2020-09-22 10:05:51,2020-09-28 13:00:00,CZ6906,1240,波音738
2020-09-22 10:05:51,2020-09-28 13:30:00,CZ6921,1880,空客321
2020-09-22 10:05:51,2020-09-28 14:55:00,CZ6902,1240,波音787
2020-09-22 10:05:51,2020-09-28 19:30:00,CZ6910,1240,波音787
2020-09-22 10:05:51,2020-09-28 22:00:00,CZ6912,1690,波音738
2020-09-22 10:06:22,2020-09-29 13:30:00,CZ6921,1880,空客321
2020-09-22 10:06:22,2020-09-29 14:55:00,CZ6902,1880,波音787
2020-09-22 10:06:22,2020-09-29 19:30:00,CZ6910,1880,波音787
2020-09-22 10:06:22,2020-09-29 22:00:00,CZ6912,2230,波音738
2020-09-22 10:06:22,2020-09-29 09:00:00,CZ6904,1710,波音787
2020-09-22 10:06:22,2020-09-29 07:40:00,CZ6931,1880,空客321
2020-09-22 10:06:22,2020-09-29 12:05:00,CZ6908,1880,空客321
2020-09-22 10:06:22,2020-09-29 13:00:00,CZ6906,1880,波音738
2020-09-22 10:06:22,2020-09-29 20:00:00,CA1295,2000,波音737
2020-09-22 10:06:22,2020-09-29 09:10:00,CA1901,1690,空客321
2020-09-22 10:06:22,2020-09-29 11:20:00,CA1253,2000,波音737
2020-09-22 10:06:22,2020-09-29 07:15:00,CA1293,1240,波音737
2020-09-22 10:06:22,2020-09-29 08:05:00,CA1477,2000,波音737
